time_s,cluster_id,reason,latency_ms
1,0,COMPROMISE,0
1,1,COMPROMISE,0
1,2,COMPROMISE,0
2,0,COMPROMISE,0
2,1,COMPROMISE,0
2,2,COMPROMISE,0
3,0,COMPROMISE,0
3,1,COMPROMISE,0
3,2,COMPROMISE,0
4,0,COMPROMISE,0
4,1,COMPROMISE,0
4,2,COMPROMISE,0
5,0,COMPROMISE,0
5,1,COMPROMISE,0
5,2,COMPROMISE,0
6,0,COMPROMISE,0
6,1,COMPROMISE,0
6,2,COMPROMISE,0
7,0,COMPROMISE,0
7,1,COMPROMISE,0
7,2,COMPROMISE,0
8,0,COMPROMISE,0
8,1,COMPROMISE,0
8,2,COMPROMISE,0
9,0,COMPROMISE,0
9,1,COMPROMISE,0
9,2,COMPROMISE,0
10,0,COMPROMISE,0
10,1,COMPROMISE,0
10,2,COMPROMISE,0
11,0,COMPROMISE,0
11,1,COMPROMISE,0
11,2,COMPROMISE,0
12,0,COMPROMISE,0
12,1,COMPROMISE,0
12,2,COMPROMISE,0
13,0,COMPROMISE,0
13,1,COMPROMISE,0
13,2,COMPROMISE,0
14,0,COMPROMISE,0
14,1,COMPROMISE,0
14,2,COMPROMISE,0
15,0,COMPROMISE,0
15,1,COMPROMISE,0
15,2,COMPROMISE,0
16,0,COMPROMISE,0
16,1,COMPROMISE,0
16,2,COMPROMISE,0
17,0,COMPROMISE,0
17,1,COMPROMISE,0
17,2,COMPROMISE,0
18,0,COMPROMISE,0
18,1,COMPROMISE,0
18,2,COMPROMISE,0
19,0,COMPROMISE,0
19,1,COMPROMISE,0
19,2,COMPROMISE,0
20,0,COMPROMISE,0
20,1,COMPROMISE,0
20,2,COMPROMISE,0
21,0,COMPROMISE,0
21,1,COMPROMISE,0
21,2,COMPROMISE,0
22,0,COMPROMISE,0
22,1,COMPROMISE,0
22,2,COMPROMISE,0
23,0,COMPROMISE,0
23,1,COMPROMISE,0
23,2,COMPROMISE,0
24,0,COMPROMISE,0
24,1,COMPROMISE,0
24,2,COMPROMISE,0
25,0,COMPROMISE,0
25,1,COMPROMISE,0
25,2,COMPROMISE,0
26,0,COMPROMISE,0
26,1,COMPROMISE,0
26,2,COMPROMISE,0
27,0,COMPROMISE,0
27,1,COMPROMISE,0
27,2,COMPROMISE,0
28,0,COMPROMISE,0
28,1,COMPROMISE,0
28,2,COMPROMISE,0
29,0,COMPROMISE,0
29,1,COMPROMISE,0
29,2,COMPROMISE,0
30,0,COMPROMISE,0
30,1,COMPROMISE,0
30,2,COMPROMISE,0
31,0,COMPROMISE,0
31,1,COMPROMISE,0
31,2,COMPROMISE,0
32,0,COMPROMISE,0
32,1,COMPROMISE,0
32,2,COMPROMISE,0
33,0,COMPROMISE,0
33,1,COMPROMISE,0
33,2,COMPROMISE,0
34,0,COMPROMISE,0
34,1,COMPROMISE,0
34,2,COMPROMISE,0
35,0,COMPROMISE,0
35,1,COMPROMISE,0
35,2,COMPROMISE,0
36,0,COMPROMISE,0
36,1,COMPROMISE,0
36,2,COMPROMISE,0
37,0,COMPROMISE,0
37,1,COMPROMISE,0
37,2,COMPROMISE,0
38,0,COMPROMISE,0
38,1,COMPROMISE,0
38,2,COMPROMISE,0
39,0,COMPROMISE,0
39,1,COMPROMISE,0
39,2,COMPROMISE,0
40,0,COMPROMISE,0
40,1,COMPROMISE,0
40,2,COMPROMISE,0
41,0,COMPROMISE,0
41,1,COMPROMISE,0
41,2,COMPROMISE,0
42,0,COMPROMISE,0
42,1,COMPROMISE,0
42,2,COMPROMISE,0
43,0,COMPROMISE,0
43,1,COMPROMISE,0
43,2,COMPROMISE,0
44,0,COMPROMISE,0
44,1,COMPROMISE,0
44,2,COMPROMISE,0
45,0,COMPROMISE,0
45,1,COMPROMISE,0
45,2,COMPROMISE,0
46,0,COMPROMISE,0
